2021,联合
服务器,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
ラバウル,6273,4302,5760,5569,5435,6079,5735,5639,5262,5456,5541,5905
ショートランド,5456,4774,5481,5611,5943,5890,5806,6183,6188,6634,5196,7633
ブイン,5052,3755,5263,5499,5907,5605,5488,6600,6367,6000,5627,6107
タウイタウイ,8197,4808,6374,7534,6411,6583,6402,5781,7442,7246,6852,6576
パラオ,6012,5101,5415,5470,6313,7085,7128,5841,6257,7002,5566,6651
ブルネイ,6829,5876,6126,5274,5724,5858,6156,6075,5870,6636,1013,6067
単冠湾,5211,4965,4910,4812,5884,5716,6115,5039,5806,6239,5555,7473
幌筵,5489,4568,5814,5444,5633,6317,5689,5536,5830,6134,5769,6085
宿毛湾,5662,4393,5502,5652,7000,5853,6183,5347,5646,5257,5151,6500
鹿屋,6079,4480,4934,6289,6560,7101,7514,5640,6230,6397,5718,7406
岩川,5233,4947,5292,4902,5021,6225,5945,5440,6008,6098,5342,5319
佐伯湾,6813,5757,5827,5849,7857,7767,8179,7000,7568,6651,6539,7653
柱島,7308,5751,7053,6649,1000,9302,7476,6896,8212,1108,8100,9856
2017,1群
服务器,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
横須賀,3598,3169,3749,3668,3789,4333,5052,3569,4114,3768,4109,4200
呉,3536,3006,3239,3782,3469,3812,3866,3885,4142,4311,3624,4361
佐世保,3282,3289,3825,3628,3514,3816,3987,3467,3842,3948,3648,4145
舞鶴,3329,2939,3268,3376,3451,3647,3893,3461,3912,4121,3507,4148
大湊,3713,3139,3624,3654,3537,4394,4384,3516,4126,4056,3650,4144
トラック,3572,3259,3241,3585,4108,3885,4285,3414,4079,4255,3912,4152
リンガ,3572,3202,3990,4016,4148,3899,4094,3678,3899,4141,3660,4202
ラバウル,4293,3406,4232,3903,3966,4255,4559,3887,3963,4336,4114,4825
ショートランド,3941,3853,4353,4335,4010,4374,4448,3942,3910,4675,3919,5428
ブイン,3784,3358,4035,3870,4237,4271,4171,3982,4411,4168,4014,4564
タウイタウイ,4613,3327,4063,4271,4548,5020,4768,4407,5040,5119,4954,4969
パラオ,4044,3298,4026,4232,4745,4951,4730,4102,4752,4253,3966,5023
ブルネイ,4519,3373,4510,4098,4520,4292,4110,4083,4543,4262,4442,4450
単冠湾,3902,3329,4323,4074,4305,4315,4756,4315,4812,4325,4338,4743
幌筵,4438,3862,4086,3837,4693,4941,4846,4126,4612,4801,4598,4814
宿毛湾,4034,3348,4270,4036,4432,4502,4413,3676,4282,4321,3972,4999
鹿屋,4287,3612,4153,4646,4720,5415,4912,3677,4270,4768,4076,5434
岩川,3954,3209,4729,4133,4298,4318,4695,3725,4412,4241,3821,4049
佐伯湾,4636,4339,4460,4341,5312,5794,6406,4475,4490,4911,4645,5110
柱島,6019,4023,5571,5228,5733,6032,5792,5422,5960,6065,4761,6757
2017,2群
服务器,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
横須賀,2518,2215,2619,2834,2797,2975,2927,2657,2888,2812,2702,2803
呉,2424,2076,2489,2613,2713,2728,2818,2498,2738,2698,2584,2649
佐世保,2454,2204,2535,2733,2779,2842,2897,2610,2743,2845,2618,2766
舞鶴,2428,2157,2452,2635,2591,2716,2696,2502,2517,2640,2507,2501
大湊,2460,2152,2584,2773,2760,2961,2824,2561,2640,2728,2644,2835
トラック,2573,2252,2655,2722,2801,2894,2886,2616,2879,2888,2665,2935
リンガ,2674,2286,2740,2874,2989,2938,2918,2682,2796,2967,2739,2985
ラバウル,2738,2340,2893,2811,2978,3164,3155,2788,2925,3261,2867,3253
ショートランド,2799,2471,2996,2994,3112,3352,3124,2801,3084,3275,3004,3368
ブイン,2641,2309,2783,2880,2977,3113,3104,2789,3050,3100,2703,3137
タウイタウイ,2884,2420,2903,3069,3142,3279,3255,2936,3210,3234,3086,3277
パラオ,2885,2531,2967,3203,3184,3287,3244,3049,3254,3249,3949,3311
ブルネイ,2866,2546,2966,3079,3211,3221,3285,3007,3195,3282,3073,3343
単冠湾,2916,2464,2917,3060,3164,3203,3239,2911,3185,3194,2943,3230
幌筵,2953,2495,2933,3131,3319,3232,3245,2989,3230,3264,2998,3518
宿毛湾,2887,2398,2947,3065,3157,3195,3141,2857,3161,3203,2975,3305
鹿屋,2852,2511,2877,3141,3164,3422,3254,2909,3261,3267,2975,3397
岩川,2633,2339,3005,2905,3083,3168,3239,2817,3044,3104,2894,3125
佐伯湾,3175,2675,3269,3226,3514,3672,3613,3196,3306,3541,3139,3553
柱島,3514,2872,3676,3420,3890,4067,3806,3499,3888,3871,3449,4148
2017,3群
服务器,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
横須賀,1799,1640,1844,2064,2039,2156,2053,1854,2073,2013,1816,1974
呉,1709,1550,1741,1981,1952,2023,1917,1764,1935,1912,1692,1902
佐世保,1779,1625,1819,1959,1992,2044,2038,1825,1981,1989,1791,1952
舞鶴,1621,1506,1733,1885,1867,1945,1866,1712,1883,1852,1632,1835
大湊,1733,1605,1829,1998,2018,2060,2012,1837,2000,2022,1818,2061
トラック,1777,1583,1871,2005,2046,2087,1983,1827,2097,2056,1823,2050
リンガ,1869,1665,1943,2096,2117,2188,2094,1859,2096,2157,1867,2127
ラバウル,1964,1688,2070,2161,2201,2374,2219,2021,2317,2382,2006,2418
ショートランド,1922,1738,2086,2213,2256,2336,2206,2011,2325,2385,2078,2397
ブイン,1944,1693,1992,2141,2205,2221,2195,1971,2198,2223,1929,2250
タウイタウイ,1956,1720,2118,2206,2249,2379,2262,2014,2362,2318,2018,2300
パラオ,2075,1804,2156,2313,2351,2415,2308,2083,2317,2355,2054,2317
ブルネイ,2070,1776,2114,2281,2322,2325,2361,2107,2325,2368,2085,2378
単冠湾,2028,1775,2121,2242,2290,2397,2260,2070,2307,2316,2000,2288
幌筵,2076,1752,2125,2211,2289,2363,2247,2025,2316,2318,2020,2313
宿毛湾,2038,1758,2078,2253,2284,2371,2224,2033,2300,2284,2003,2280
鹿屋,2062,1763,2144,2293,2299,2415,2292,2108,2353,2393,2070,2475
岩川,1951,1744,2126,2182,2220,2328,2188,1988,2246,2269,1953,2261
佐伯湾,2174,1847,2318,2261,2482,2441,2415,2195,2456,2382,2072,2420
柱島,2543,2053,2682,2454,2883,2760,2637,2429,2846,2963,2397,2979
2016,联合
服务器,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
横須賀,5034,null,4391,4707,null,null,4649,4494,4584,6041,4882,5142
呉,4673,null,4481,4319,null,null,5506,4013,4740,5602,4720,4698
佐世保,5345,null,4647,4529,null,null,4030,4783,4878,4546,4212,6091
舞鶴,6101,null,5135,5172,null,null,4757,4640,4421,6128,4972,5155
大湊,5558,null,5893,5213,null,null,5194,4390,5603,5546,5694,5943
トラック,5795,null,5216,4451,null,null,4747,4385,4568,4774,4478,6242
リンガ,5358,null,5668,5605,null,null,4821,4505,5870,6087,4907,6180
ラバウル,5997,null,6250,4928,null,null,5746,4290,4625,5872,4416,5920
ショートランド,7043,null,6105,5650,null,null,5615,5283,5000,5451,4769,5943
ブイン,5403,null,5772,4929,null,null,5337,5118,5401,6326,5094,6151
タウイタウイ,6995,null,6088,5555,null,null,5600,5497,5840,6100,5246,6903
パラオ,5866,null,6145,5773,null,null,5738,5464,5505,5108,4832,6194
ブルネイ,6105,null,7500,6435,null,null,6631,6914,5576,5835,4710,6668
単冠湾,5830,null,6107,5455,null,null,5427,5121,5034,5728,5380,6333
幌筵,5563,null,6362,5598,null,null,6034,4454,5909,5437,5594,7250
宿毛湾,6061,null,6204,6673,null,null,6065,6409,5577,5656,5717,7037
鹿屋,6352,null,6164,4628,null,null,5161,4723,5315,5255,4955,5554
岩川,6001,null,6519,6221,null,null,6482,5700,5815,6226,6023,5676
佐伯湾,6438,null,7358,5642,null,null,6464,7203,6254,6278,5623,6663
柱島,4089,null,5171,5468,null,null,5971,4758,7272,6455,6166,5983
2016,1群
服务器,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
横須賀,3598,null,3602,3291,null,null,3382,3224,3337,3921,3547,3788
呉,3395,null,3564,3111,null,null,3382,2796,3163,3444,3368,3559
佐世保,3428,null,3099,2946,null,null,3004,3139,3843,3429,3411,3948
舞鶴,4251,null,3533,3312,null,null,3248,3050,3609,3455,3328,3443
大湊,3837,null,3370,2878,null,null,3163,3069,3617,4031,3212,3991
トラック,3607,null,4061,2961,null,null,3234,2862,3536,3632,3224,4131
リンガ,4310,null,3621,3224,null,null,3281,2953,3918,3633,3308,3756
ラバウル,3703,null,3638,3253,null,null,3657,3178,3362,3611,3575,3889
ショートランド,4246,null,3908,4033,null,null,3630,3232,3744,3903,3695,4611
ブイン,3511,null,3641,3564,null,null,3746,3472,4306,3694,3411,4453
タウイタウイ,4322,null,3794,3236,null,null,4061,3405,4466,4238,3921,4154
パラオ,4363,null,4529,3601,null,null,4028,3301,3666,3882,3674,4152
ブルネイ,4183,null,4357,3566,null,null,4251,3297,4198,4308,3745,4290
単冠湾,4574,null,4099,3328,null,null,4098,3216,3937,4146,3933,4425
幌筵,4044,null,4346,3649,null,null,4385,3546,3818,4634,3508,4709
宿毛湾,4263,null,4838,3720,null,null,4250,3572,4142,4147,3378,4303
鹿屋,4056,null,3671,3494,null,null,3826,3195,4006,3804,3574,4006
岩川,4342,null,4525,3852,null,3674,4358,3208,3907,3969,3621,4136
佐伯湾,3672,null,4293,3876,null,null,4404,4053,4857,4442,4335,4908
柱島,3134,null,3944,3342,2906,4694,4152,3999,4600,4739,4091,4722
2016,2群
服务器,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
横須賀,2389,null,2581,2192,null,null,2278,2110,2411,2698,2429,2702
呉,2297,null,2434,2192,null,null,2226,2064,2338,2450,2332,2535
佐世保,2202,null,2412,2058,null,null,2164,2249,2509,2594,2385,2763
舞鶴,2385,null,2302,2073,null,null,2180,1983,2249,2507,2400,2603
大湊,2310,null,2440,2195,null,null,2231,2068,2349,2513,2392,2721
トラック,2404,null,2543,2205,null,null,2293,2080,2500,2606,2422,2740
リンガ,2445,null,2678,2283,null,null,2436,2246,2537,2709,2529,2775
ラバウル,2678,null,2791,2305,null,null,2573,2266,2474,2671,2481,2889
ショートランド,2711,null,2936,2390,null,null,2591,2293,2657,2829,2604,3005
ブイン,2593,null,2734,2376,null,null,2479,2302,2617,2700,2439,3045
タウイタウイ,2745,null,2884,2354,null,null,2573,2484,2876,2879,2692,3072
パラオ,2825,null,2996,2552,null,null,2581,2393,2585,2893,2692,3177
ブルネイ,2874,null,3054,2532,null,null,2691,2522,2684,2915,2673,3103
単冠湾,2725,null,2982,2474,null,null,2589,2409,2754,2892,2677,3071
幌筵,2809,null,3023,2399,null,null,2554,2405,2734,2862,2627,3175
宿毛湾,2668,null,3008,2419,null,null,2524,2408,2864,2846,2551,3155
鹿屋,2697,null,2922,2489,null,null,2587,2392,2782,2941,2635,3063
岩川,2727,null,3031,2420,null,2599,2528,2307,2661,2728,2537,2929
佐伯湾,2620,null,3194,2452,null,null,2693,2580,3011,3136,2853,3251
柱島,2256,2160,2852,2236,2306,2823,2829,2631,3205,3293,2867,3483
2016,3群
服务器,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
横須賀,1642,1554,1763,1569,1447,null,1629,1473,1661,1878,1738,1991
呉,1500,1461,1635,1483,1376,null,1481,1394,1513,1723,1660,1823
佐世保,1529,1426,1646,1440,1374,null,1496,1613,1736,1864,1775,1973
舞鶴,1554,1470,1633,1484,1375,null,1491,1399,1552,1709,1625,1789
大湊,1566,1507,1744,1467,1430,null,1592,1480,1666,1832,1697,1943
トラック,1600,1519,1797,1483,1457,null,1603,1473,1706,1813,1690,1936
リンガ,1659,1612,1911,1532,1478,null,1672,1566,1756,1910,1797,2002
ラバウル,1800,1712,2014,1569,1605,null,1784,1527,1762,1863,1773,2064
ショートランド,1844,1764,2033,1607,1609,null,1746,1656,1881,1993,1848,2134
ブイン,1762,1701,2018,1562,1612,null,1763,1630,1854,1898,1806,2169
タウイタウイ,1806,1767,2027,1602,1604,null,1747,1632,1885,1962,1839,2166
パラオ,1893,1765,2158,1691,1617,null,1832,1713,1882,2004,1903,2236
ブルネイ,1922,1868,2119,1700,1667,null,1850,1733,2008,2032,1867,2249
単冠湾,1863,1750,2058,1644,1633,null,1834,1663,1894,2012,1895,2246
幌筵,1881,1809,2132,1615,1672,null,1814,1699,1964,1995,1870,2282
宿毛湾,1854,1807,2131,1705,1639,null,1830,1751,1944,1999,1871,2293
鹿屋,1887,1857,2110,1673,1728,null,1923,1746,2020,2017,1905,2290
岩川,1852,1805,2154,1551,1596,null,1775,1628,1913,1966,1824,2163
佐伯湾,1790,1888,2268,1617,1847,null,1900,1815,2113,2073,1944,2411
柱島,1607,1594,1965,1548,1682,2082,2041,1902,2502,2169,2058,2668
