服务器,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
横須賀,2902,2861,2600,2534,2520,2590,2556,2996,2973,3370,3229,3009
呉,3003,2996,2667,2612,2532,2672,2650,3047,3043,3410,3304,3113
佐世保,2933,2913,2589,2567,2528,2635,2600,2995,2962,3358,3182,2821
舞鶴,3020,3024,2615,2700,2564,2667,2631,3080,3039,3453,3284,3080
大湊,2743,2592,2437,2335,2359,2432,2365,2810,2742,3191,2924,2421
トラック,2645,2495,2393,2329,2294,2384,2414,2749,2614,3171,2923,2466
リンガ,2637,2606,2440,2355,2309,2374,2396,2748,2700,3137,2910,2498
ラバウル,2758,2627,2529,2389,2356,2508,2444,2830,2826,3249,3030,2755
ショートランド,2739,2599,2474,2348,2298,2505,2386,2723,2798,3166,3005,2595
ブイン,2681,2490,2432,2325,2279,2451,2392,2732,2734,3164,2810,2487
タウイタウイ,2691,2617,2459,2306,2345,2443,2400,2741,2775,3157,2912,2485
パラオ,2685,2539,2426,2323,2298,2452,2371,2752,2788,3188,2824,2617
ブルネイ,2569,2413,2389,2242,2209,2377,2277,2648,2518,3083,2784,2288
単冠湾,2666,2448,2448,2297,2206,2421,2371,2677,2709,3168,2817,2506
幌筵,2663,2503,2433,2300,2224,2443,2317,2704,2735,3137,2885,2528
宿毛湾,2616,2544,2425,2306,2298,2425,2337,2670,2675,3155,2894,2384
鹿屋,2664,2537,2442,2324,2298,2445,2371,2784,2786,3164,2908,2669
岩川,2654,2514,2409,2278,2242,2389,2348,2752,2695,3170,2724,2489
佐伯湾,2635,2422,2381,2284,2237,2448,2317,2652,2703,3110,2750,2426
柱島,3124,3105,2966,2862,2678,2856,2855,3233,3199,3747,3352,3393
