服务器,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
横須賀,1953,1643,1946,1876,2075,2075,2197,3863,2548,2900,3220,2625
呉,1819,1531,1769,1776,1951,1956,2051,4105,2650,3209,3421,2716
佐世保,1860,1594,1837,1764,1985,1977,2058,3960,2621,3165,3457,2671
舞鶴,1783,1526,1777,1758,1925,1915,2004,4098,2718,3189,3579,2738
大湊,1937,1638,1903,1905,2079,2044,2175,3597,2378,2690,2886,2545
トラック,1952,1659,1956,1917,2112,2106,2222,3274,2201,2465,2725,2440
リンガ,1987,1680,1979,1948,2148,2133,2305,3365,2286,2530,2790,2477
ラバウル,2323,1861,2214,2290,2503,2397,2617,3275,2209,2504,2761,2513
ショートランド,2312,1854,2227,2280,2521,2409,2585,3381,2311,2547,2793,2514
ブイン,2137,1790,2061,2053,2247,2221,2372,3310,2232,2509,2719,2473
タウイタウイ,2280,1825,2145,2210,2412,2270,2550,3291,2240,2446,2789,2475
パラオ,2270,1824,2138,2167,2351,2274,2452,3210,2226,2472,2632,2447
ブルネイ,2249,1833,2156,2191,2446,2226,2531,3134,2128,2301,2591,2440
単冠湾,2255,1826,2133,2164,2371,2288,2427,3204,2201,2360,2610,2486
幌筵,2214,1799,2130,2195,2392,2275,2507,3236,2207,2412,2674,2437
宿毛湾,2264,1795,2143,2138,2376,2265,2476,3241,2188,2421,2629,2461
鹿屋,2363,1874,2165,2302,2479,2338,2580,3225,2189,2452,2718,2441
岩川,2189,1771,2112,2100,2404,2229,2424,3200,2192,2462,2760,2442
佐伯湾,2312,1828,2255,2285,2552,2334,2531,3224,2249,2369,2570,2446
柱島,2833,2107,2639,2743,3045,2690,3034,4158,2805,3460,3783,2847
